    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z      halos_M   halos_Rvir 
    17670754      257.505      18.4055     0.319704     -182.585       823.92      280.821   3.1144e+12      343.045
    17650533      257.623       13.918     0.318738     -184.528      840.884      213.336    4.253e+12      391.769
    14780916      181.915      15.5126     0.229095       -627.6      20.9795      174.295   8.9413e+12      482.499
    16044194      203.019      51.1777     0.317391     -509.759      216.576      688.313   1.5204e+13      593.372
    19251373      348.147      25.4866     0.261519      652.045       136.85      317.594   8.8074e+12      484.744
    18273655      276.606      35.7485     0.206431      55.1304      476.009      344.949   3.6502e+12       357.96
   128712823      332.531      15.8696     0.305147      727.127      378.011      232.975   3.4108e+12      364.679
   109169327      187.535      1.99517     0.310925     -858.868      113.611      30.1804   1.5592e+13      594.102
   121713174      359.008      50.3295      0.32257      572.365      9.91528      690.243    1.608e+13      591.986
   115413062      236.221      70.7309     0.291365     -149.772      223.907      770.561    5.035e+12      436.537
     9124406      297.492      17.3851     0.270836      335.965      645.603      227.868   3.5665e+13      843.927
     4168662      244.517      2.85673     0.326923     -390.107      818.513      45.2461   8.2046e+12      473.924
     6266426       279.27      7.21852     0.271418      122.121      748.198       96.019    5.693e+12      417.125
   115362341      186.272      49.7133     0.301495     -541.545      59.5237      642.717   4.0605e+12      377.901
    17404900      263.389      42.5995     0.298434     -70.7304      610.291      564.938   3.2149e+12      359.172
     4527874      184.217      63.3146     0.172671      -222.98      16.4426      444.833   2.5116e+12      316.522
    15854344      188.524      46.1566     0.266709     -514.988      77.1854      542.201   1.4366e+13      555.365
     2470838      216.801      24.0337     0.290331     -594.993      445.123      331.359   1.3697e+13      569.529
    17725343      268.104      31.5784     0.339372     -26.4764      799.936      491.977   5.4921e+12       421.05
   122640397      274.647      55.9238     0.302798      38.3977      472.408      700.672   4.2229e+12      378.007
    16869657      248.693      70.2603    0.0726499     -26.3076      67.4515      201.765   3.9215e+13       775.32
    16178017      215.337      40.2752     0.260866     -458.291      324.938      476.021   4.0186e+12      390.888
   109237432      194.816       18.628     0.298076     -763.763      202.028      266.304   8.4458e+12      496.711
    10862832      320.179     0.969464     0.255346       554.25      462.136      12.2116   2.9804e+12       342.44
    10692092      333.908      39.3136     0.292613      569.448       278.87      519.229   3.9516e+12      365.503
    15986112      210.158      41.9659     0.192934     -355.919        206.8      370.195   4.8893e+12      401.059
     5735817      333.133      76.4607     0.219996      130.981      66.3568      609.754   1.1654e+13       526.51
    10145894      355.943      17.4293     0.284489      759.818      53.8912      239.138   4.8558e+12      402.606
     6394387      271.384      7.14288      0.32212      21.4619      888.376      111.361    2.746e+12      328.275
     9072219      312.858      3.40787     0.258597      495.892      534.434      43.4147   3.1479e+12      345.849
     5962557      306.653      8.89002     0.147136       251.72      338.287      65.9557   7.7023e+12      451.973
   123258904      313.401      2.18621     0.323949      618.121      653.619      34.3425   3.8981e+12      400.372
     7998150      291.993      21.9508     0.258432      253.529      627.735      272.849   2.7125e+12      330.638
   109298073       191.19      25.0343     0.290238     -722.938      143.015      344.182   1.7216e+13      643.126
   127994369      348.233      39.4453     0.327296      687.056      143.126      577.399   3.2484e+12      335.696
   117122253      256.224      38.8233     0.338148     -173.714      708.539       587.04   4.8726e+12      389.354
