    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z  halos_M200b   halos_Mvir   halos_Rvir 
   111007785      5.85116    -0.261599     0.545436     -970.051      942.547      471.396   1.7704e+13   1.7054e+13     0.604945
   129883947      1.01242    -0.847355     0.622543      660.709      710.447      1275.17   1.1369e+13   9.5827e+12     0.503994
   141066885      1.35828    -0.268116     0.830201      1656.64      977.295       629.06   1.1207e+13   1.1045e+13     0.539117
   100195357      5.14142    -0.363987     0.895304     -1994.67      86.9541      785.765    1.478e+13    1.478e+13     0.597043
     7861827     0.511875    -0.149348      0.16277      76.8238      449.602      115.084    4.263e+13   4.0085e+13     0.745035
   125186601     0.348895    -0.364208     0.724602      6.78589      1623.66      812.884   2.1927e+13   2.1764e+13     0.669656
    16928098       5.8277     -1.31599     0.314355     -154.717      68.0248      859.225   2.2002e+13    2.083e+13     0.621991
     5148677     0.242338    -0.163917     0.228219     -66.2249      623.361      169.332   2.0461e+13   1.7883e+13     0.579513
   122170580      1.11743     -1.37463     0.878149      296.729      87.3144      2091.18   1.4455e+13   1.4455e+13     0.591897
   133717263      1.73523    0.0128062     0.532995      1380.74      255.637      1.09375   2.0952e+13   1.9653e+13     0.633169
   109418043      5.30422    -0.731946     0.426579     -829.951       130.07      792.799    2.485e+13   2.3551e+13     0.661791
   116648457    0.0214565     -1.24811     0.709147     -172.892       364.52      1738.06   4.7914e+13   4.6777e+13     0.862899
   129530250      1.22937   -0.0586206     0.574679      1155.31      936.552       176.71   5.6847e+13   5.2461e+13     0.883147
   122677771     0.686445     -1.00555     0.401681      199.709      457.862      973.992   1.2506e+13   1.1045e+13     0.511969
   112691274      6.23205    -0.234966     0.691368     -656.537      1518.18       564.28   1.1369e+13   1.1369e+13     0.537551
   122794436     0.436965     -1.18106     0.446664      46.4172      341.983      1152.73    1.007e+13   8.9331e+12     0.480638
   125293599     0.514436    -0.499576     0.740267      274.905      1502.71      1038.92   2.9398e+13   2.9235e+13      0.73998
   109659381      5.40304     -1.02981     0.648568     -797.151      144.283      1446.56   1.1045e+13   1.1045e+13     0.529972
   109592003      5.37136    -0.961326     0.540956     -769.306      132.138      1188.89   3.3946e+13   3.3134e+13     0.754401
   115694936      5.53877     -1.16045     0.676689     -600.349      157.138      1601.08   2.5662e+13     2.55e+13     0.702578
    12383854      1.82512    -0.213344     0.296376      807.857      57.2206      178.421   2.5518e+13   2.2236e+13     0.633241
   119761404     0.128988    -0.433904     0.885516     -412.737      1785.98      1080.05   3.9793e+13   3.9468e+13     0.827726
   122112281      1.44887     -1.32175     0.747859      418.048      26.3438      1814.97   1.5755e+13   1.5755e+13     0.602596
   115580030      5.60453     -1.29959     0.451596     -272.799      51.0688      1182.91   2.5013e+13   2.3551e+13     0.664503
   125072726     0.656796    -0.149947     0.540757      430.009      1311.09      342.956   2.8261e+13   2.7124e+13     0.705699
   109360121      5.34734    -0.679493     0.357668     -732.151      154.726      641.416    2.079e+13   1.9815e+13     0.617081
   129085116      1.36614    -0.844804     0.745654      1057.34      504.785      1442.35   1.6242e+13   1.5917e+13     0.604536
   132111144     0.821415    -0.346577     0.882149      915.381      1694.22      889.852   1.1207e+13   1.1207e+13      0.54391
   109421480      5.39979    -0.671288     0.446489     -884.225      238.088       779.97   1.2831e+13   1.1857e+13     0.528193
   110954609      5.93053   -0.0726782     0.436472     -756.455      886.416      178.497   1.0232e+13   9.7452e+12     0.493963
   119724408    0.0570775    -0.304348     0.873215     -570.477      1851.59       822.31   1.1369e+13   1.1369e+13     0.546164
   110285947      5.53702    -0.553241     0.447489      -907.58      405.693      681.433   1.4943e+13   1.3968e+13     0.557941
   129658398      1.06692    -0.325807     0.498135      829.469      896.388      512.018   1.3318e+13   1.2669e+13     0.544278
     3675947      5.79193    -0.352906     0.256489     -504.323      427.483      297.004   2.7829e+13   2.4513e+13     0.648235
   111728717       5.8274   0.00286937     0.550075     -1037.46      997.572      100.768   1.3806e+13   1.2994e+13     0.552862
   110031589      5.44309   -0.0767264     0.368952     -936.823      368.625      119.469   1.2344e+13   1.1207e+13     0.511412
   111837144      5.90597    -0.146659     0.572588     -977.211      1078.89      332.086   2.1277e+13   2.0465e+13     0.645121
   105724314       5.4996    -0.367271     0.838225     -1717.85      733.563      817.449   4.4503e+13   4.3691e+13     0.853181
   131900583      0.73551   -0.0171791     0.785426      734.412       1780.3      208.574   3.5245e+13   3.4758e+13     0.787104
   104317450      5.20148    -0.738641     0.767772     -1386.32      70.1587      1300.79   1.1045e+13   1.1045e+13     0.536278
   116659736     0.220812     -1.28088     0.703902     -55.7109       330.82      1741.49   1.1694e+13   1.1369e+13     0.538232
   130312958      1.08589   -0.0396351     0.551563       973.76      1057.25      159.072   1.0882e+13   1.0882e+13     0.521231
   109243997      5.37861    -0.277475     0.342157     -863.031      258.263      290.541   1.3806e+13   1.2831e+13     0.532248
   110095738       5.4371    -0.185182     0.349741     -881.306      330.432      215.978   1.3806e+13   1.2506e+13     0.528508
   117821793    0.0483884    0.0281089     0.410405     -327.959      1063.86      76.7295   1.5917e+13   1.4943e+13     0.567107
   128006829      1.56877    -0.576832     0.455257      967.097      282.563      694.552   1.2669e+13   1.2344e+13     0.536082
   121773474      1.10751      -1.3904     0.354887      125.563      30.5068      970.049   1.5755e+13    1.543e+13      0.56741
   104209330       5.2931    -0.506297     0.723456      -1538.6       277.46      918.893   1.4455e+13   1.3968e+13     0.577567
   131422489     0.825592    -0.466898      0.86067      860.821      1548.12       1092.8   1.1532e+13   1.1532e+13     0.548234
   128988760      1.41423    -0.704318     0.550725      968.499      435.246      978.989   1.2994e+13   1.2994e+13     0.552909
   104805840      5.38256    -0.190918     0.842777     -1904.28      596.212      459.242   5.0512e+13     4.97e+13      0.89095
